,GEOID_INT,NAMELSAD,COUNTYFP,tract_geoid_2019,<60,60,61 - 89,90,91 - 149,150,>150
0,6037139301,Census Tract 1393.01,037,6037139301,3,7,0,1,0,1,1
1,6037139302,Census Tract 1393.02,037,6037139302,0,15,0,6,0,3,0
2,6037139502,Census Tract 1395.02,037,6037139502,0,5,0,2,0,1,0
3,6037139600,Census Tract 1396,037,6037139600,1,3,0,1,0,2,1
4,6037139701,Census Tract 1397.01,037,6037139701,1,1,0,2,0,0,0
5,6013324002,Census Tract 3240.02,013,6013324002,1,8,0,10,0,0,0
6,6013320004,Census Tract 3200.04,013,6013320004,2,7,0,13,0,1,0
7,6013336201,Census Tract 3362.01,013,6013336201,1,14,0,8,0,2,0
8,6013338203,Census Tract 3382.03,013,6013338203,1,9,0,7,0,3,0
9,6013338204,Census Tract 3382.04,013,6013338204,0,8,0,14,0,4,0
10,6013355116,Census Tract 3551.16,013,6013355116,0,0,0,0,0,2,0
11,6013345204,Census Tract 3452.04,013,6013345204,0,1,0,1,0,0,0
12,6013345203,Census Tract 3452.03,013,6013345203,0,9,0,16,0,1,0
13,6013345112,Census Tract 3451.12,013,6013345112,0,0,0,26,0,3,0
14,6013345113,Census Tract 3451.13,013,6013345113,0,1,0,31,0,7,0
15,6037143400,Census Tract 1434,037,6037143400,6,29,0,54,0,17,5
16,6037143500,Census Tract 1435,037,6037143500,8,44,0,48,0,20,7
17,6037181000,Census Tract 1810,037,6037181000,5,66,0,14,0,14,6
18,6037181500,Census Tract 1815,037,6037181500,18,114,0,11,0,15,10
19,6037181600,Census Tract 1816,037,6037181600,6,94,0,19,0,10,4
20,6037183101,Census Tract 1831.01,037,6037183101,10,92,0,18,0,10,11
21,6001441402,Census Tract 4414.02,001,6001441402,0,0,0,6,0,2,0
22,6001441601,Census Tract 4416.01,001,6001441601,0,1,0,0,0,0,0
23,6001441602,Census Tract 4416.02,001,6001441602,0,1,0,0,0,1,0
24,6037183220,Census Tract 1832.20,037,6037183220,12,111,0,23,0,13,7
25,6037183300,Census Tract 1833,037,6037183300,20,126,0,18,0,14,9
26,6037183510,Census Tract 1835.10,037,6037183510,15,76,0,17,0,11,3
27,6037183520,Census Tract 1835.20,037,6037183520,6,95,0,19,0,18,6
28,6037183610,Census Tract 1836.10,037,6037183610,9,80,0,18,0,11,14
29,6037192300,Census Tract 1923,037,6037192300,2,17,0,5,0,2,4
30,6001441800,Census Tract 4418,001,6001441800,0,16,0,9,0,0,0
31,6001441921,Census Tract 4419.21,001,6001441921,0,5,0,17,0,5,0
32,6037195400,Census Tract 1954,037,6037195400,19,273,0,44,0,55,19
33,6001441923,Census Tract 4419.23,001,6001441923,0,8,0,7,0,3,0
34,6001442100,Census Tract 4421,001,6001442100,0,3,0,0,0,0,0
35,6001442400,Census Tract 4424,001,6001442400,0,2,0,0,0,0,0
36,6001442500,Census Tract 4425,001,6001442500,0,6,0,4,0,1,0
37,6037183820,Census Tract 1838.20,037,6037183820,11,69,0,24,0,8,2
38,6037185100,Census Tract 1851,037,6037185100,11,111,0,18,0,21,7
39,6037185202,Census Tract 1852.02,037,6037185202,11,106,0,10,0,13,8
40,6037185310,Census Tract 1853.10,037,6037185310,16,152,0,9,0,14,4
41,6073003901,Census Tract 39.01,073,6073003901,32,88,0,22,0,17,6
42,6073003902,Census Tract 39.02,073,6073003902,48,88,0,23,0,18,3
43,6073004000,Census Tract 40,073,6073004000,41,105,0,37,0,26,6
44,6073004100,Census Tract 41,073,6073004100,29,129,0,39,0,44,10
45,6073008800,Census Tract 88,073,6073008800,48,107,0,4,0,26,1
46,6073008901,Census Tract 89.01,073,6073008901,14,39,0,4,0,4,2
47,6073009000,Census Tract 90,073,6073009000,21,54,0,4,0,11,3
48,6073009101,Census Tract 91.01,073,6073009101,1,40,0,82,0,10,2
