,GEOID_INT,NAMELSAD,COUNTYFP,tract_geoid_2019,<100,100,101 - 199,200,>200
0,6037139301,Census Tract 1393.01,037,6037139301,50,168,177,738,171
1,6037139502,Census Tract 1395.02,037,6037139502,90,124,101,528,84
2,6037139600,Census Tract 1396,037,6037139600,4,51,138,354,290
3,6037139701,Census Tract 1397.01,037,6037139701,26,114,116,1017,417
4,6037139801,Census Tract 1398.01,037,6037139801,1,178,147,667,323
5,6013324002,Census Tract 3240.02,013,6013324002,13,282,53,363,110
6,6013320004,Census Tract 3200.04,013,6013320004,23,940,340,377,115
7,6013336201,Census Tract 3362.01,013,6013336201,64,275,43,461,97
8,6013338203,Census Tract 3382.03,013,6013338203,13,114,49,303,79
9,6013338204,Census Tract 3382.04,013,6013338204,23,691,103,750,259
10,6013355116,Census Tract 3551.16,013,6013355116,12,109,1139,422,511
11,6013345204,Census Tract 3452.04,013,6013345204,16,97,137,714,299
12,6013345203,Census Tract 3452.03,013,6013345203,9,398,273,957,509
13,6013345112,Census Tract 3451.12,013,6013345112,0,353,654,325,245
14,6013345113,Census Tract 3451.13,013,6013345113,0,299,725,385,151
15,6037143400,Census Tract 1434,037,6037143400,20,98,100,770,154
16,6037143500,Census Tract 1435,037,6037143500,51,95,99,489,148
17,6037181000,Census Tract 1810,037,6037181000,73,230,141,1223,67
18,6037181500,Census Tract 1815,037,6037181500,57,172,87,620,21
19,6037181600,Census Tract 1816,037,6037181600,6,74,43,399,17
20,6037183101,Census Tract 1831.01,037,6037183101,24,138,74,600,19
21,6001441402,Census Tract 4414.02,001,6001441402,2,687,299,356,163
22,6001441501,Census Tract 4415.01,001,6001441501,0,547,454,510,154
23,6001441521,Census Tract 4415.21,001,6001441521,0,757,147,553,222
24,6001441522,Census Tract 4415.22,001,6001441522,32,458,128,633,196
25,6001441601,Census Tract 4416.01,001,6001441601,4,418,7,750,233
26,6001441602,Census Tract 4416.02,001,6001441602,72,565,11,617,201
27,6037183220,Census Tract 1832.20,037,6037183220,13,57,44,368,7
28,6037183300,Census Tract 1833,037,6037183300,14,74,43,369,2
29,6037183510,Census Tract 1835.10,037,6037183510,14,80,36,358,12
30,6037183520,Census Tract 1835.20,037,6037183520,2,26,24,220,3
31,6037183610,Census Tract 1836.10,037,6037183610,4,38,28,133,2
32,6037192300,Census Tract 1923,037,6037192300,6,34,32,313,26
33,6001441800,Census Tract 4418,001,6001441800,41,485,97,765,215
34,6001441921,Census Tract 4419.21,001,6001441921,29,112,26,359,77
35,6037195400,Census Tract 1954,037,6037195400,20,90,63,506,31
36,6001441923,Census Tract 4419.23,001,6001441923,2,26,1,32,10
37,6001442100,Census Tract 4421,001,6001442100,2,528,90,780,241
38,6001442400,Census Tract 4424,001,6001442400,33,438,63,858,221
39,6001442500,Census Tract 4425,001,6001442500,50,686,11,632,253
40,6037183820,Census Tract 1838.20,037,6037183820,4,27,11,85,2
41,6037185100,Census Tract 1851,037,6037185100,45,307,172,932,94
42,6037185202,Census Tract 1852.02,037,6037185202,15,139,92,457,30
43,6037185310,Census Tract 1853.10,037,6037185310,18,31,32,179,2
44,6073003901,Census Tract 39.01,073,6073003901,35,72,23,182,9
45,6073003902,Census Tract 39.02,073,6073003902,36,55,16,130,4
46,6073004000,Census Tract 40,073,6073004000,22,58,14,205,5
47,6073004100,Census Tract 41,073,6073004100,18,54,17,192,16
48,6073008800,Census Tract 88,073,6073008800,16,223,16,387,56
49,6073008901,Census Tract 89.01,073,6073008901,26,67,25,211,4
50,6073009000,Census Tract 90,073,6073009000,8,75,10,161,16
51,6073009101,Census Tract 91.01,073,6073009101,29,319,71,962,189
52,6081605300,Census Tract 6053,081,6081605300,7,127,130,701,80
53,6081605400,Census Tract 6054,081,6081605400,40,151,138,865,48
54,6081605500,Census Tract 6055,081,6081605500,11,58,38,247,49
55,6081605800,Census Tract 6058,081,6081605800,6,58,58,542,131
56,6081605900,Census Tract 6059,081,6081605900,10,61,39,232,12
57,6095253101,Census Tract 2531.01,095,6095253101,31,456,115,736,171
58,6095253105,Census Tract 2531.05,095,6095253105,39,316,89,292,86
