ceus_subsector,space_heating,space_cooling,water_heating,cooking,miscellaneous,processing
Office,0.791803279,0.019672131,0.126775956,0.010928962,0.004371585,0.046448087
Restaurant,0.036788228,0,0.231605886,0.730006398,0,0.001599488
Retail,0.652307692,0,0.169230769,0.110769231,0.058461538,0.009230769
Food Store,0.345088161,0,0.277078086,0.375314862,0,0.002518892
Refrigerated Warehouse,0.145454546,0,0.145454546,0.218181818,0,0.490909091
Unrefrigerated Warehouse,0.870588235,0,0.105882353,0.005882353,0.011764706,0.005882353
School,0.626404494,0.008426966,0.293539326,0.066011236,0.001404494,0.004213483
College,0.579545455,0.100852273,0.245738636,0.048295455,0.025568182,0
Health,0.433124644,0.020489471,0.415480933,0.044393853,0.019351167,0.067159932
Lodging,0.171902269,0.001745201,0.682373473,0.103839442,0.034031414,0.006108202
Miscellaneous,0.301754386,0.015594542,0.400389864,0.043664717,0.042495127,0.196101365
