ceus_subsector,dac,median_vintage,median_sqft,average_therms_per_premise
College,FALSE,1976,11562.5,41802.87128900987
College,TRUE,1969,9597,7583.421524327355
Food Store,FALSE,1972,8610,5773.263958
Food Store,TRUE,1963,4955,4440.541308883602
Health,FALSE,1978,9600,21481.209859613573
Health,TRUE,1970,8085,17481.914096181852
Lodging,FALSE,1967,18629,12321.68241154779
Lodging,TRUE,1964,13003.5,9556.017667721775
Miscellaneous,FALSE,1971,8515.5,4856.767278958315
Miscellaneous,TRUE,1962,6178,4087.8776464662637
Office,FALSE,1979,10107,5441.600711260221
Office,TRUE,1972,8020,2764.528071
Refrigerated Warehouse,FALSE,1977,13432,1465.0319968136237
Refrigerated Warehouse,TRUE,1969.5,13164,3084.133900388486
Restaurant,FALSE,1977,7774,5119.978484465928
Restaurant,TRUE,1975,6000,4995.108422537257
Retail,FALSE,1974,9464.5,1341.7035490092333
Retail,TRUE,1967,7936,1454.2192333614241
School,FALSE,1966,6397,5745.612755
School,TRUE,1959,6038,4463.627541856783
Unrefrigerated Warehouse,FALSE,1979,16270,2905.5827202063274
Unrefrigerated Warehouse,TRUE,1974,13744,2437.091008590269
