"ceus_subsector","dac","total_premises","total_therms"
College,false,5497,229790383.47568712
College,true,751,5695149.564769842
Food Store,false,9419,54378373.22069471
Food Store,true,4012,17815451.73124101
Health Care,false,10915,234467405.6176811
Health Care,true,3584,62655180.12071569
Lodging,false,6757,83257608.05482842
Lodging,true,2143,20478545.861927766
Miscellaneous,false,44842,217787158.32304847
Miscellaneous,true,16554,67670726.55960251
Office,false,108139,588449259.3149674
Office,true,27403,75756362.7396576
Refrigerated Warehouse,false,2502,3665510.0560276858
Refrigerated Warehouse,true,1038,3201330.9886032483
Restaurant,false,58700,300542737.03814787
Restaurant,true,17621,88018805.51352897
Retail,false,46561,62471058.945418954
Retail,true,13134,19099715.41096897
School,false,12753,73273799.46144299
School,true,2911,12993619.774345096
Unrefrigerated Warehouse,false,10187,29599171.170741886
Unrefrigerated Warehouse,true,5337,13006754.712846281
