NAICS,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Electro-Chemical Processes,Facility HVAC,Facility Lighting,Machine Drive,Onsite Transportation,Other Facility Support,Other Nonprocess Use,Other Process Use,Process Cooling and Refrigeration,Process Heating,Total,,,,,,
32,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
32,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
321,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0.7,1,,,,,,
3211,0.3,0,0,0,0,0,0,0,0,0,0,0,0.7,1,,,,,,
3211,0.3,0,0,0,0,0,0,0,0,0,0,0,0.7,1,,,,,,
321113,0.3,0,0,0,0,0,0,0,0,0,0,0,0.7,1,,,,,,
321114,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
3212,0.2,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.7,1,,,,,,
32121,0.2,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.7,1,,,,,,
321211,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.8,1,,,,,,
321212,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.8,1,,,,,,
321213,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.8,1,,,,,,
321214,0.1,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.7,1,,,,,,
321219,0.1,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.7,1,,,,,,
3219,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
3219,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
32191,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
321911,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
321912,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
321918,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
321920,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
32199,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
321991,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
321992,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
321999,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
322,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
3221,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
322110,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
322120,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
322121,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
322122,0,0.4,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
322130,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
3222,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
3222,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
32221,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
322211,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
322212,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
322213,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
322214,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
322215,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
322219,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
322220,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
322221,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
322222,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
322223,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
322224,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
322225,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
322226,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
322230,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
322231,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
322232,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
322233,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
322291,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
322299,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
323,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
3231,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
3231,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323110,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323111,0.1,0.1,0,0,0.3,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323112,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323113,0,0.1,0,0,0.3,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323114,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323115,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323116,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323117,0,0.1,0,0,0.3,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323118,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323119,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323120,0,0.1,0,0,0.3,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323121,0,0.1,0,0,0.3,0,0,0,0,0,0,0.1,0.4,1,,,,,,
323122,0,0.1,0,0,0.3,0,0,0,0,0,0,0.1,0.4,1,,,,,,
324,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3241,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3241,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
324110,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
32412,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
324121,0,0.1,0,0,0,0,0,0,0,0,0,0,0.7,1,,,,,,
324122,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
324191,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
