VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
445120,Convenience Stores,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
4452,Specialty Food Retailers,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
4452,Specialty Food Retailers,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
445210,Meat Markets,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
445220,Fish and Seafood Markets,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
445230,Fruit and Vegetable Retailers,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
44529,Other Specialty Food Retailers,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
445291,Baked Goods Retailers,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
445292,Confectionery and Nut Retailers,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
445299,All Other Specialty Food Stores,Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
4453,"Beer, Wine, and Liquor Retailers",Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
4453,"Beer, Wine, and Liquor Retailers",Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
445310,"Beer, Wine, and Liquor Stores",Food/Liquor,0.34508816,0,0.27707809,0.37531486,0,0.00251889,1
