VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
4884,Support Activities for Road Transportation,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
4884,Support Activities for Road Transportation,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
488410,Motor Vehicle Towing,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
51,Information,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
511,FALSE,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
5111,FALSE,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
5111,FALSE,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
511110,Newspaper Publishers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
511120,Periodical Publishers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
511130,Book Publishers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
511140,Database and Directory Publishers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
51119,FALSE,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
511191,Greeting Card Publishers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
511199,All Other Publishers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
5112,FALSE,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
5112,FALSE,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
511210,Software Publishers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512,Motion Picture and Sound Recording Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
5121,Motion Picture and Video Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
5121,Motion Picture and Video Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512110,Motion Picture and Video Production,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512120,Motion Picture and Video Distribution,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512131,Motion Picture Theaters (except Drive-Ins),Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512132,Drive-In Motion Picture Theaters,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
51219,Postproduction Services and Other Motion Picture and Video Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512191,Teleproduction and Other Postproduction Services,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512199,Other Motion Picture and Video Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
5122,Sound Recording Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
5122,Sound Recording Industries,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512210,Record Production,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512220,Integrated Record Production/Distribution,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512230,Music Publishers,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512240,Sound Recording Studios,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
512250,Record Production and Distribution,Misc,0.30175439,0.01559454,0.40038986,0.04366472,0.04249513,0.19610136,1
