VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
711,"Performing Arts, Spectator Sports, and Related Industries",Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
7111,Performing Arts Companies,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
7111,Performing Arts Companies,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
711110,Theater Companies and Dinner Theaters,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722,Food Services and Drinking Places,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722211,Limited-Service Restaurants,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722212,Cafeterias,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722213,Snack and Nonalcoholic Beverage Bars,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
7223,Special Food Services,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
7223,Special Food Services,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722310,Food Service Contractors,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722320,Caterers,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722330,Mobile Food Services,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
7224,Drinking Places (Alcoholic Beverages),Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
7224,Drinking Places (Alcoholic Beverages),Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722410,Drinking Places (Alcoholic Beverages),Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
7225,Restaurants and Other Eating Places,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
72251,Restaurants and Other Eating Places,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722511,Full-Service Restaurants,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722513,Limited-Service Restaurants,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722514,"Cafeterias, Grill Buffets, and Buffets",Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
722515,Snack and Nonalcoholic Beverage Bars,Restaurant,0.037,0.000,0.232,0.730,0.000,0.002,1.00
