VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
42,Wholesale Trade,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421110,Automobile and Other Motor Vehicle Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421120,Motor Vehicle Supplies and New Parts Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421130,Tire and Tube Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421140,Motor Vehicle Parts (Used) Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421210,Furniture Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421220,Home Furnishing Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421320,"Brick, Stone, and Related Construction Material Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421330,"Roofing, Siding, and Insulation Material Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421390,Other Construction Material Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421410,Photographic Equipment and Supplies Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421420,Office Equipment Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421430,Computer and Computer Peripheral Equipment and Software Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421440,Other Commercial Equipment Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421460,Ophthalmic Goods Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421490,Other Professional Equipment and Supplies Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421510,Metal Service Centers and Offices,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421520,Coal and Other Mineral and Ore Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421620,"Electrical Appliance, Television, and Radio Set Wholesalers",Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
421690,Other Electronic Parts and Equipment Wholesalers,Retail,0.652,0.000,0.169,0.111,0.058,0.009,1.0
