VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
61,Educational Services,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
611,Educational Services,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
6111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
6111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
61111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
61111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
61111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
61111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
61111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
61111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
61111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
61111,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
611110,Elementary and Secondary Schools,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
6244,Child Care Services,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
6244,Child Care Services,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
624410,Child Care Services,School,0.63,0.01,0.29,0.07,0.00,0.00,1.00
