VALID NAICS,NAICS Title,SubCategory,Heat,Cool,WH,Cook,Misc.,Proc.,Total
423,"Merchant Wholesalers, Durable Goods",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423130,Tire and Tube Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4232,Furniture and Home Furnishing Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4232,Furniture and Home Furnishing Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423210,Furniture Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423220,Home Furnishing Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4233,Lumber and Other Construction Materials Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4233,Lumber and Other Construction Materials Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
423390,Other Construction Material Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,Warehouse,0.87,0.00,0.11,0.01,0.01,0.01,1.0
