,raw_score,raw_score
dac,False,True
ceus_subsector,,
College,5.124958220005226,4.485482680790344
Food Store,3.8340326988958466,3.9837987873797003
Health,4.791696679813379,4.982059655694911
Lodging,4.138894148226669,3.8091393916620486
Miscellaneous,5.659150510264977,5.919202501587851
Office,1.9535465995279155,2.0847571805563776
Refrigerated Warehouse,5.1005765655337205,5.4959935192565705
Restaurant,2.535716893721384,2.502895459225265
Retail,2.429320603044255,2.6703199513035205
School,2.5721127070278538,2.8641741664734095
Unrefrigerated Warehouse,2.0367224103681063,2.0904134669866927
