,raw_trl_score,raw_trl_score,raw_enduse_diversity_score,raw_enduse_diversity_score,raw_median_vintage,raw_median_vintage,raw_median_sqft,raw_median_sqft,raw_average_therms_per_premise,raw_average_therms_per_premise
dac,False,True,False,True,False,True,False,True,False,True
ceus_subsector,,,,,,,,,,
College,3.0028409120000004,3.0028409120000004,4.538416936740069,4.538416936740069,1976.0,1969.0,11562.5,9597.0,41802.87128900987,7583.421524327355
Food Store,2.357682623,2.357682623,5.422320147662647,5.422320147662647,1972.0,1963.0,8610.0,4955.0,5773.263958,4440.541308883602
Health,3.282299376,3.282299376,4.989654038044973,4.989654038044973,1978.0,1970.0,9600.0,8085.0,21481.209859613573,17481.914096181852
Lodging,1.9869109959999998,1.9869109959999998,3.8320173156734314,3.8320173156734314,1967.0,1964.0,18629.0,13003.5,12321.68241154779,9556.017667721777
Miscellaneous,3.9118908439999993,3.9118908439999993,6.271781696549909,6.271781696549909,1971.0,1962.0,8515.5,6178.0,4856.767278958315,4087.877646466264
Office,1.3721311459999999,1.3721311459999999,3.2307154916107645,3.2307154916107645,1979.0,1972.0,10107.0,8020.0,5441.600711260221,2764.528071
Refrigerated Warehouse,3.6000000020000003,3.6000000020000003,5.517499834994799,5.517499834994799,1977.0,1969.5,13432.0,13164.0,1465.0319968136237,3084.133900388486
Restaurant,1.969609724,1.969609724,3.4452461438231494,3.4452461438231494,1977.0,1975.0,7774.0,6000.0,5119.978484465928,4995.108422537257
Retail,1.501538458,1.501538458,4.060544220259654,4.060544220259654,1974.0,1967.0,9464.5,7936.0,1341.7035490092333,1454.219233361424
School,1.3848314579999998,1.3848314579999998,3.9757142879350336,3.9757142879350336,1966.0,1959.0,6397.0,6038.0,5745.612755,4463.627541856783
Unrefrigerated Warehouse,1.1705882360000002,1.1705882360000002,2.8803355987684442,2.8803355987684442,1979.0,1974.0,16270.0,13744.0,2905.5827202063274,2437.091008590269
