,proximity_residential_population_estimate,proximity_residential_population_estimate
dac,FALSE,TRUE
ceus_subsector,,
College,123.6228508,168.9694575
Food Store,152.8048899,213.2596304
Health Care,104.6648261,162.7472705
Lodging,101.7701664,212.1210553
Miscellaneous,77.38108414,110.0725488
Office,32.77440698,55.05116646
Refrigerated Warehouse,126.0438907,143.927051
Restaurant,46.14893472,88.73935724
Retail,45.19529383,73.99154851
School,190.7408434,306.0527667
Unrefrigerated Warehouse,58.50836535,71.93100459
