air_district,<60,60,61 - 89,90,91 - 149,150,>150
Amador,0.2125,0.2875,0.0,0.5,0.0,0.0,0.0
Antelope Valley,0.15555555555555556,0.45454545454545453,0.0,0.38047138047138046,0.0,0.009427609427609427,0.0
Bay Area,0.5195922060236356,0.38787997500256505,0.0,0.08120435403083638,0.0,0.011323464942962942,0.0
Butte,0.2212166918049271,0.43891402714932126,0.0,0.318753142282554,0.0,0.021116138763197588,0.0
Calaveras,0.2648648648648649,0.31891891891891894,0.0,0.41081081081081083,0.0,0.005405405405405406,0.0
Colusa,0.3235294117647059,0.29411764705882354,0.0,0.35294117647058826,0.0,0.029411764705882353,0.0
El Dorado,0.14388092613009923,0.6890848952590959,0.0,0.15711135611907387,0.0,0.009922822491730982,0.0
Feather River,0.29337844369260513,0.3818269695505075,0.0,0.29917834702754953,0.0,0.025616239729337846,0.0
Glenn,0.27225130890052357,0.36649214659685864,0.0,0.3507853403141361,0.0,0.010471204188481676,0.0
Great Basin Unified,0.24,0.4153846153846154,0.0,0.3323076923076923,0.0,0.012307692307692308,0.0
Imperial,0.12643678160919541,0.4433497536945813,0.0,0.4302134646962233,0.0,0.0,0.0
Kern,0.14843348741653825,0.3441191576784797,0.0,0.5028248587570622,0.0,0.004622496147919877,0.0
Lake,0.16666666666666666,0.38596491228070173,0.0,0.4415204678362573,0.0,0.005847953216374269,0.0
Lassen,0.49843260188087773,0.16927899686520376,0.0,0.3166144200626959,0.0,0.01567398119122257,0.0
Mariposa,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0
Mendocino,0.2770448548812665,0.41424802110817943,0.0,0.29023746701846964,0.0,0.018469656992084433,0.0
Modoc,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Mojave Desert,0.09494086727989487,0.3104467805519054,0.0,0.5827858081471747,0.0,0.011826544021024968,0.0
Monterey Bay Unified,0.4339155208720426,0.3993558776167472,0.0,0.15830546265328874,0.0,0.008423138857921467,0.0
North Coast Unified,0.45869947275922673,0.2826010544815466,0.0,0.2140597539543058,0.0,0.044639718804920916,0.0
Northern Sierra,0.3394495412844037,0.3394495412844037,0.0,0.30275229357798167,0.0,0.01834862385321101,0.0
Northern Sonoma,0.4740532959326788,0.30995792426367463,0.0,0.1949509116409537,0.0,0.021037868162692847,0.0
Placer,0.2877939529675252,0.3534901082493468,0.0,0.2956326987681971,0.0,0.06308324001493094,0.0
Sacramento Metro,0.22475987193169691,0.5845250800426894,0.0,0.17838847385272144,0.0,0.012326574172892209,0.0
San Diego,0.4197101037373881,0.43210885320449055,0.0,0.14057837146511298,0.0,0.007602671593008385,0.0
San Joaquin Valley Unified,0.2829912935323383,0.38420398009950246,0.0,0.3156094527363184,0.0,0.017195273631840795,0.0
San Luis Obispo,0.3458128078817734,0.406568144499179,0.0,0.2233169129720854,0.0,0.024302134646962233,0.0
Santa Barbara,0.32912032355915066,0.5328614762386249,0.0,0.13346814964610718,0.0,0.00455005055611729,0.0
Shasta,0.20420728578758338,0.35146228835300153,0.0,0.40020523345305287,0.0,0.044125192406362236,0.0
Siskiyou,0.3602941176470588,0.25,0.0,0.3897058823529412,0.0,0.0,0.0
South Coast,0.51828486939379,0.37469287917784716,0.0,0.09120347553073034,0.0,0.01581877589763248,0.0
Tehama,0.17173913043478262,0.3173913043478261,0.0,0.48695652173913045,0.0,0.02391304347826087,0.0
Tuolumne,0.30734966592427615,0.3273942093541203,0.0,0.34966592427616927,0.0,0.015590200445434299,0.0
Ventura,0.34768740031897927,0.5245436824384193,0.0,0.10703526493000177,0.0,0.02073365231259968,0.0
Yolo-Solano,0.13837489943684633,0.6057924376508448,0.0,0.24376508447304907,0.0,0.012067578439259855,0.0
