sqft_class,<60,60,90,150,>150
0-1999,0.6317679021928974,0.29992237531535026,0.06282054836295085,0.0054891741288015305,0.0
2000-2999,0.4527802735349905,0.3832484775881002,0.15076370170709794,0.013207547169811321,0.0
3000-3999,0.3634378988379123,0.45779875058776115,0.15006381406596359,0.028699536508363002,0.0
4000-5999,0.30365772287037224,0.5263764482277534,0.15894615524597125,0.011019673655903109,0.0
6000-7999,0.248809067513552,0.5901549581120298,0.14953731588457536,0.011498658489842852,0.0
8000-9999,0.23062200956937798,0.5871345029239766,0.1666135034556087,0.01562998405103668,0.0
10000-19999,0.1926945473795659,0.5895535556731957,0.19675313216869597,0.02099876477854244,0.0
20000-29999,0.12360688956433637,0.6004728132387707,0.23826409996622763,0.037656197230665316,0.0
30000-39999,0.08979456593770709,0.5357852882703777,0.3117958913187541,0.06262425447316103,0.0
>40000,0.04305989896560019,0.41448159730574935,0.4265095020447438,0.11594900168390666,0.0
