bzone,<100,100,101 - 199,200,>200
1,0.33155397390272834,0.507387037636148,0.12067292138466516,0.029332470613609402,0.011053596462849131
10,0.09378775044705387,0.5365487994596599,0.2743033987166924,0.030827063506563248,0.0645329878700305
11,0.12575211514373755,0.5222925775936926,0.2225991869856224,0.0569878508910115,0.07236826938593592
12,0.11505873930374529,0.5688099399244236,0.22269995092235204,0.03656608718328315,0.056865282666195865
13,0.15664730492708884,0.5823325254658778,0.15974337796913857,0.05575639411294799,0.045520397524946854
14,0.06408129239037182,0.6306877964290918,0.25723165579422763,0.02064279586253784,0.02735645952377098
15,0.06462103477761112,0.5483185915137583,0.2639860384922693,0.05488582682684086,0.06818850838952045
16,0.23036450680191498,0.5689671517277338,0.16418803621367967,0.01866971607337536,0.017810589183296203
2,0.17632567494226942,0.6124495855104234,0.16133168743548543,0.025231188345340584,0.02466186376648115
3,0.4103274845114358,0.45812517254281515,0.10146008007387985,0.01137065910304362,0.01871660376882556
4,0.13391248167913863,0.671815640742926,0.13995135794624813,0.019243244974944805,0.03507727465674248
5,0.10778925072809108,0.6512576118612655,0.16820757214720677,0.04189568440561292,0.03084988085782367
6,0.20580955408135015,0.574389156045894,0.1622922412820802,0.02446451824585508,0.033044530344820515
7,0.15763288435449893,0.5856317006208741,0.20204340551959754,0.018257040138531994,0.036434969366497406
8,0.32192544778651716,0.5298815996299323,0.11320694424789668,0.010997037327843184,0.02398897100781068
9,0.32002367146498334,0.5122826871265644,0.1228289477099415,0.01792282894770994,0.02694186475080073
