renter_class,<100,100,101 - 199,200,>200
0-9,0.05352630639600966,0.4279967498614464,0.3687615657025841,0.06095418807593676,0.08876118996402303
10-19,0.08342597606073522,0.5556374779673514,0.2658361462161446,0.03407860327408039,0.06102179648168842
20-29,0.13840315528376912,0.5728186682906972,0.21058226509811387,0.02930843439043228,0.04888747693698757
30-39,0.18353174325876773,0.5896778855157493,0.17010797711321246,0.02186864974102823,0.03481374437124225
40-49,0.2389616191659074,0.6170003733322854,0.10389289396639183,0.019596325417516835,0.020548788117898543
50-59,0.34846829838401544,0.5370073195034425,0.08052802313472532,0.018275533979127803,0.01572082499868893
60-69,0.43022296999025494,0.4800393133490476,0.05930318754633061,0.016770641590524816,0.013663887523842047
70-79,0.5209262543213857,0.39969459222240133,0.04852938542282408,0.016313790818062945,0.014535977215325917
80-89,0.5491803278688525,0.3584404076207355,0.038838234265326586,0.026304129841662197,0.02723690040342327
90-100,0.6537822411675457,0.2265009753630518,0.03352358933603063,0.0413987428653999,0.04479445126797197
