sqft_class,<100,100,101 - 199,200,>200
0-499,0.9098881824161368,0.0729372213695827,0.0,0.017174596214280493,0.0
500-749,0.9511965756534146,0.04392848649934064,0.0,0.004874937847244742,0.0
750-999,0.9019373676048887,0.09508835422517783,0.0,0.0029742781699334535,0.0
1000-1249,0.2853698763306606,0.7091943126203578,0.0,0.005435811048981666,0.0
1250-1499,0.1861772309922359,0.7973311345551665,0.0,0.016491634452597628,0.0
1500-1999,0.13296391610569133,0.820607192919402,0.0,0.04642889097490662,0.0
2000-2499,0.0955633807786489,0.3340898826451763,0.4831051041938648,0.0,0.08724163238230997
2500-2999,0.0798637156757755,0.24196137962766448,0.5656544709585752,0.0,0.1125204337379848
3000-3999,0.0,0.0768029775295538,0.7954707328301297,0.0,0.12772628964031651
>4000,0.0,0.0,0.18294243818051115,0.44105012770085855,0.3760074341186303
