vintage_class,<100,100,101 - 199,200,>200
<1930,0.9470143646223819,0.033442800002511666,0.01775746121049624,0.001040247315136331,0.0007451268494739112
1930s,0.9499148863733083,0.03344539960847732,0.015524725508553919,0.0006426078815218317,0.000472380628138565
1940s,0.9744242716235106,0.01889788554095443,0.006422200263180751,0.00014912483387329633,0.00010651773848092596
1950s,0.10016808011179786,0.8753548890312935,0.02257956722496152,0.001680801117978572,0.00021666251396848228
1960s,0.04179700855197821,0.9192283450282469,0.03644882419021349,0.0022141646063927023,0.00031165762316872074
1970s,0.03292674851869762,0.8604385417523611,0.10100545970034853,0.0042828851135380906,0.001346364915054607
1980s,0.0,0.6577340312547413,0.3184129452620577,0.014429398674960806,0.009423624808240192
1990s,0.0,0.5098542561469679,0.45045595146117695,0.024814947121815055,0.014874845270040127
2000s,0.0,0.33269857806629793,0.6041338539145562,0.04290003710246916,0.0202675309166767
>2010,0.0,0.0,0.0,0.3224390074018908,0.6775609925981092
