air_district,<60,60,61 - 89,90,91 - 149,150,>150
Amador,0.04938271604938271,0.37037037037037035,0.0,0.5308641975308642,0.0,0.04938271604938271,0.0
Antelope Valley,0.0632996632996633,0.3838383838383838,0.0,0.5057239057239057,0.0,0.04713804713804714,0.0
Bay Area,0.06846724304986211,0.6641853618543638,0.0,0.21807222180815383,0.0,0.04529701125437877,0.00397816203324141
Butte,0.03965863453815261,0.48042168674698793,0.0,0.41967871485943775,0.0,0.060240963855421686,0.0
Calaveras,0.05405405405405406,0.44324324324324327,0.0,0.43243243243243246,0.0,0.07027027027027027,0.0
Colusa,0.058823529411764705,0.4852941176470588,0.0,0.39705882352941174,0.0,0.058823529411764705,0.0
El Dorado,0.04233095107201759,0.5041231445849368,0.0,0.42990654205607476,0.0,0.022539857064321055,0.0010995052226498076
Feather River,0.10313253012048193,0.45349397590361445,0.0,0.3624096385542169,0.0,0.07566265060240963,0.005301204819277108
Glenn,0.08376963350785341,0.44502617801047123,0.0,0.42408376963350786,0.0,0.04712041884816754,0.0
Great Basin Unified,0.07076923076923076,0.4338461538461538,0.0,0.44,0.0,0.055384615384615386,0.0
Imperial,0.06239737274220033,0.40558292282430214,0.0,0.49589490968801314,0.0,0.0361247947454844,0.0
Kern,0.048254620123203286,0.31724845995893225,0.0,0.5723819301848049,0.0,0.061601642710472276,0.000513347022587269
Lake,0.04678362573099415,0.3654970760233918,0.0,0.4853801169590643,0.0,0.0935672514619883,0.008771929824561403
Lassen,0.1536050156739812,0.44200626959247646,0.0,0.3573667711598746,0.0,0.047021943573667714,0.0
Mariposa,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0
Mendocino,0.05511811023622047,0.5065616797900262,0.0,0.3910761154855643,0.0,0.047244094488188976,0.0
Modoc,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mojave Desert,0.03745072273324573,0.2614980289093298,0.0,0.6149802890932983,0.0,0.08442838370565046,0.0016425755584756898
Monterey Bay Unified,0.10444993819530285,0.5796044499381953,0.0,0.28479604449938195,0.0,0.03053152039555006,0.0006180469715698393
North Coast Unified,0.08719916288803628,0.5333100802232299,0.0,0.3038018835019184,0.0,0.07254970352284618,0.003139169863969306
Northern Sierra,0.057057057057057055,0.5045045045045045,0.0,0.38738738738738737,0.0,0.05105105105105105,0.0
Northern Sonoma,0.08926080892608089,0.5690376569037657,0.0,0.29428172942817293,0.0,0.04602510460251046,0.001394700139470014
Placer,0.06482861400894188,0.4426229508196721,0.0,0.37220566318926973,0.0,0.11102831594634874,0.009314456035767511
Sacramento Metro,0.0596012368056296,0.5357714042008743,0.0,0.32044994135835375,0.0,0.07863311653694424,0.005544301098198102
San Diego,0.1188234876203332,0.5076906681823026,0.0,0.28102021242584635,0.0,0.07751056800824127,0.014955063763276615
San Joaquin Valley Unified,0.09792035810873823,0.4688053716310734,0.0,0.37250147657682864,0.0,0.0589387298330691,0.0018340638502906525
San Luis Obispo,0.07086614173228346,0.5295275590551181,0.0,0.3346456692913386,0.0,0.06430446194225722,0.0006561679790026247
Santa Barbara,0.05953582240161453,0.6135216952573158,0.0,0.30726538849646823,0.0,0.01917255297679112,0.0005045408678102926
Shasta,0.05643919958953309,0.37147255002565416,0.0,0.4694715238583889,0.0,0.09645972293483839,0.0061570035915854285
Siskiyou,0.08759124087591241,0.43795620437956206,0.0,0.4233576642335766,0.0,0.051094890510948905,0.0
South Coast,0.12672331079971835,0.5975177757753303,0.0,0.20649449671481054,0.0,0.05366478298778953,0.015599633722351328
Tehama,0.0455531453362256,0.3557483731019523,0.0,0.48590021691973967,0.0,0.11062906724511931,0.0021691973969631237
Tuolumne,0.050997782705099776,0.4722838137472284,0.0,0.4190687361419069,0.0,0.057649667405764965,0.0
Ventura,0.08821966341895483,0.5943312666076174,0.0,0.2813108945969885,0.0,0.03472099202834367,0.00141718334809566
Yolo-Solano,0.03378921962992759,0.5156878519710378,0.0,0.3913917940466613,0.0,0.05551086082059534,0.0036202735317779565
