tract_geoid_2019,<60,60,61 - 89,90,91 - 149,150,>150
06001400100,0,2,0,2,0,0,0
06001400200,9,48,0,6,0,3,1
06001400300,12,190,0,17,0,15,8
06001400400,11,183,0,13,0,28,4
06001400500,24,156,0,14,0,15,1
06001400600,11,88,0,4,0,14,1
06001400700,16,256,0,19,0,21,5
06001400800,19,165,0,19,0,17,5
06001400900,19,174,0,9,0,12,4
06001401000,29,298,0,18,0,20,9
06001401100,8,264,0,8,0,21,5
06001401200,14,118,0,9,0,19,4
06001401300,4,96,0,6,0,9,1
06001401400,12,312,0,12,0,15,3
06001401500,7,139,0,10,0,13,1
06001401600,3,104,0,2,0,8,5
06001401700,4,123,0,4,0,13,3
06001401800,4,141,0,13,0,4,1
06001402200,3,184,0,10,0,18,2
06001402400,4,151,0,9,0,13,0
06001402500,4,40,0,1,0,3,2
06001402600,1,35,0,1,0,1,1
06001402700,2,99,0,28,0,5,0
06001402800,2,36,0,0,0,2,1
06001402900,0,4,0,0,0,3,0
06001403000,0,10,0,0,0,3,1
06001403100,0,12,0,0,0,1,2
06001403300,5,66,0,7,0,8,1
06001403400,0,27,0,6,0,3,0
06001403501,6,131,0,13,0,13,5
06001403502,6,85,0,13,0,4,2
06001403600,7,73,0,17,0,14,2
06001403701,4,45,0,19,0,8,1
06001403702,3,47,0,5,0,3,1
06001403800,12,175,0,14,0,20,3
06001403900,9,97,0,14,0,11,1
06001404000,13,102,0,11,0,8,1
06001404101,16,124,0,6,0,15,4
06001404102,5,57,0,10,0,6,2
06001404200,0,7,0,2,0,2,0
06001404300,6,14,0,3,0,3,0
06001404400,3,4,0,2,0,1,1
06001404501,0,5,0,3,0,1,0
06001404502,8,11,0,6,0,4,0
06001404600,0,4,0,1,0,2,1
06001404700,3,7,0,0,0,0,1
06001404800,10,70,0,18,0,8,1
06001404900,17,143,0,18,0,13,2
06001405000,14,101,0,11,0,9,5
06001405100,4,4,0,0,0,1,0
06001405200,27,206,0,30,0,11,2
06001405301,4,92,0,18,0,7,1
06001405302,6,94,0,5,0,2,2
06001405401,8,159,0,16,0,10,1
06001405402,7,135,0,10,0,7,1
06001405500,23,171,0,22,0,18,1
06001405600,22,166,0,12,0,8,4
06001405700,20,127,0,27,0,10,0
06001405800,18,167,0,36,0,11,7
06001405901,9,148,0,21,0,5,3
06001405902,11,150,0,9,0,8,1
06001406000,5,111,0,5,0,6,1
06001406100,7,155,0,2,0,7,2
06001406201,17,149,0,17,0,13,1
06001406202,8,91,0,16,0,5,1
06001406300,7,146,0,23,0,7,3
06001406400,6,44,0,14,0,2,1
06001406500,17,187,0,48,0,6,2
06001406601,23,162,0,51,0,5,3
