renter_class,<60,60,61 - 89,90,91 - 149,150,>150
0-9,0.0821917808219178,0.4220890410958904,0.0,0.4263698630136986,0.0,0.0642123287671233,0.005136986301369863
10-19,0.0752858185356361,0.4674045244466067,0.0,0.37533446849914864,0.0,0.07394794453904159,0.008027243979567016
20-29,0.08347784959798203,0.5046902096799621,0.0,0.3438436071259656,0.0,0.06101213936623049,0.0069761942298596875
30-39,0.09508959943780745,0.5290319747013352,0.0,0.3171556570625439,0.0,0.05204673225579761,0.0066760365425158116
40-49,0.09903586067274024,0.5512022701249565,0.0,0.2959293738902441,0.0,0.04686281342825376,0.0069696818838054465
50-59,0.11011040092969204,0.5876260010610616,0.0,0.24729050349897683,0.0,0.047191976353485085,0.007781118156784478
60-69,0.11774975196519881,0.6085152255208731,0.0,0.20999007860795238,0.0,0.053165305655193465,0.010579638250782264
70-79,0.11203682489429506,0.6225864905959051,0.0,0.1967361646289392,0.0,0.05668492637103997,0.011955593509820665
80-89,0.09939925366890343,0.6188523904349136,0.0,0.2111481115815191,0.0,0.056158904934821535,0.014441339379842367
90-100,0.08068986757006467,0.5967046504465661,0.0,0.21435170927009548,0.0,0.08234524176162612,0.025908530951647676
