air_district,<100,100,101 - 199,200,>200
Amador,0.02519975414874001,0.4289080106535546,0.13993034214300348,0.30803114115959845,0.09793075189510346
Antelope Valley,0.011168528088014669,0.4531310774017892,0.2558315274768017,0.19884425181974774,0.08102461521364672
Bay Area,0.022571522182877998,0.26174397738598054,0.1279496174562244,0.4634832115307372,0.12425167144417987
Butte,0.032966627288836384,0.379060838747785,0.10836901949202599,0.3896374778499705,0.08996603662138217
Calaveras,0.028424657534246577,0.4348744292237443,0.182648401826484,0.2805936073059361,0.07345890410958904
Colusa,0.03293864370290635,0.4006458557588805,0.13153928955866523,0.37717976318622176,0.05769644779332616
El Dorado,0.01899335232668566,0.24860646599777034,0.22922085965564226,0.3306082001734176,0.17257112184648415
Feather River,0.03379884327831852,0.38315700380871776,0.16433911694174072,0.3346311186345042,0.08407391733671886
Glenn,0.03943850267379679,0.45298573975044565,0.05258467023172905,0.40931372549019607,0.04567736185383244
Great Basin Unified,0.03483661895760194,0.307768476010442,0.13808623638491313,0.40021604104779906,0.11909262759924386
Imperial,0.08029647930821494,0.5129709697344039,0.034898085237801114,0.31593576281655344,0.05589870290302656
Kern,0.04544958533391532,0.5327913574858141,0.11670667830641641,0.23933326058489743,0.06571911828895678
Lake,0.0622568093385214,0.4337913424124514,0.09241245136186771,0.348431420233463,0.0631079766536965
Lassen,0.04970436067997044,0.35125646711012565,0.07908351810790835,0.45509977827050996,0.06485587583148558
Mariposa,0.041176470588235294,0.4502673796791444,0.13689839572192514,0.2877005347593583,0.0839572192513369
Mendocino,0.05295629820051414,0.39640102827763496,0.04473007712082262,0.4267352185089974,0.07917737789203085
Modoc,0.0359375,0.30885416666666665,0.07552083333333333,0.5328125,0.046875
Mojave Desert,0.02491643224748939,0.44182467592890834,0.20483583499753055,0.24250753362394153,0.08591552320213017
Monterey Bay Unified,0.02519199641836278,0.341460894720529,0.12421221200537245,0.40618004614801806,0.10295485070771775
North Coast Unified,0.03361748934414959,0.3196755121682937,0.09892754021724186,0.4678262065172556,0.07995325175305926
Northern Sierra,0.015633008713480268,0.35540178825673446,0.17882567344381797,0.34426789680505726,0.10587163278091008
Northern Sonoma,0.026722828338627262,0.30361828476729735,0.1394144455185748,0.4454495235464715,0.08479491782902913
Placer,0.006924679700314758,0.26812962716673316,0.24389768142926807,0.27854767921266127,0.20250033249102276
Sacramento Metro,0.023322853890101625,0.36956748796256644,0.1564605245292084,0.34063064662690745,0.11001848699121607
San Diego,0.01826593786822515,0.2655142245744844,0.15625751228566587,0.4349421283068835,0.12502019696474104
San Joaquin Valley Unified,0.0336195207861149,0.44266119308146834,0.16645527820722572,0.26170141442644934,0.09556259349874167
San Luis Obispo,0.017720452597789302,0.33944834197568524,0.1557221084433599,0.37124348192368584,0.11586561505947972
Santa Barbara,0.016236722306525037,0.3441198786039454,0.10476732422862924,0.41138088012139606,0.1234951947395043
Shasta,0.02691166519181719,0.4342043620842226,0.10280568424340222,0.3390765707146947,0.0970017177658633
Siskiyou,0.03213610586011342,0.3290800252047889,0.07734719596723377,0.5017328292375551,0.05970384373030876
South Coast,0.039750164550679846,0.29000271024649166,0.14311157416043954,0.4107793894553812,0.1163561615870077
Tehama,0.038538597525044196,0.49004124926340603,0.0563347083087802,0.35875073659398937,0.0563347083087802
Tuolumne,0.037340445799199845,0.39956817171524733,0.13780402616371373,0.34628818187591287,0.0789991744459262
Ventura,0.013794682464726253,0.32570905240262155,0.16020720643370254,0.3696230789044389,0.13066597979451075
Yolo-Solano,0.017405829379296987,0.36915367483296213,0.16228091410864723,0.31643991478648203,0.1347196668926116
