renter_class,<100,100,101 - 199,200,>200
0-9,0.005309007232084155,0.1887597445289753,0.23862825208979055,0.37655912463604774,0.1907438715131023
10-19,0.010260375383450213,0.27410795855822,0.19508535794325982,0.36746931138425076,0.1530769967308192
20-29,0.020349115701719475,0.31761633278702966,0.1695517459321379,0.3646001642125865,0.12788264136652647
30-39,0.02990723022957357,0.35517080214867613,0.14800058404644986,0.3615135745389282,0.10540780903637226
40-49,0.03820818362757515,0.37020601235557166,0.10126295654871145,0.39799932793961795,0.09232351952852379
50-59,0.054901537890089086,0.34486151799996406,0.09199781927544827,0.4315108706722503,0.07672825416224831
60-69,0.06523427010847052,0.32134835670587647,0.08127275414388217,0.4658674831965396,0.06627713584523123
70-79,0.06882645456702041,0.2822435177269411,0.08291222243607245,0.5064878679778173,0.05952993729214876
80-89,0.06801714698413439,0.2633320131398085,0.07844279290823102,0.5221443049181091,0.06806374204971694
90-100,0.05392545598731166,0.21188090260255207,0.07930214115781126,0.5794823732968063,0.07540912695551871
