sqft_class,<100,100,101 - 199,200,>200
0-499,0.17936925098554535,0.16352752226602424,0.08190976784932107,0.5681121331581253,0.007081325740984085
500-749,0.18228277546081206,0.1444346003414223,0.0812174514337576,0.5889210622987662,0.003144110465241913
750-999,0.21150118702309134,0.1713670965369793,0.07392226020090877,0.5375466978969492,0.0056627583420714575
1000-1249,0.036067994164721416,0.3944535176287179,0.02745326073549365,0.45831049580392275,0.08371473166714428
1250-1499,0.021486395035560605,0.46413055275355286,0.01824795382867066,0.4113259254057229,0.08480917297649297
1500-1999,0.013519605702594955,0.49153748493890653,0.013715197755189507,0.39811473520778246,0.08311297639552655
2000-2499,0.007572958180726217,0.14189308962054073,0.3779150421155954,0.31382754962285137,0.15879136046028627
2500-2999,0.005703141830220982,0.09840794714429872,0.43995827522478087,0.28111419403640225,0.17481644176429714
3000-3999,0.0009704459057820774,0.005004200923551875,0.5350348340146718,0.2601012129488312,0.19888930620716305
>4000,0.0015423623850531064,0.0013846207774908569,0.03222602619679142,0.4231097297360457,0.5417372609046189
