sqft_class,<60,60,90,150,>150
0-1999,0.55087605626198,0.33244242866013335,0.10542371966199617,0.0112577954158905,0.0
2000-2999,0.3740227204008466,0.4785538421666451,0.13697032525592848,0.010453112176579845,0.0
3000-3999,0.2866857384045397,0.5996810955306476,0.10664540636870984,0.0069877596961028,0.0
4000-5999,0.2420502487248914,0.6278571878345193,0.12470877148794157,0.005383791952647818,0.0
6000-7999,0.23523667279411764,0.6109834558823529,0.14556525735294118,0.008214613970588236,0.0
8000-9999,0.22948524660779668,0.5922894680163687,0.16444109412018093,0.013784191255653673,0.0
10000-19999,0.19287149781298027,0.5909681995507743,0.19576782125546754,0.020392481380777868,0.0
20000-29999,0.12368510349507975,0.6028164234815067,0.23583305055989143,0.037665422463522225,0.0
30000-39999,0.08985024958402663,0.5371048252911813,0.3108153078202995,0.062229617304492515,0.0
>40000,0.04307952214311572,0.41390129117895497,0.4270544225895982,0.11596476408833112,0.0
