air_district,<100,100,101 - 199,200,>200
Amador,0.02540463019872977,0.43146896127842654,0.13911083794304446,0.3096701495595165,0.09434542102028273
Antelope Valley,0.011735289214869144,0.4527976885036395,0.2564871923098294,0.19827749069289327,0.08070233927876869
Bay Area,0.022572893061844464,0.2616116875657165,0.12781527131751064,0.46363674997498144,0.12436339807994692
Butte,0.03340962787950384,0.37802717070289427,0.10838747784997046,0.3898036030714708,0.09037212049616067
Calaveras,0.026484018264840183,0.43995433789954336,0.1863013698630137,0.2759703196347032,0.07128995433789954
Colusa,0.03896663078579117,0.3974165769644779,0.13240043057050593,0.379978471474704,0.05123789020452099
El Dorado,0.017940459969445478,0.24904000990957512,0.2281473223502209,0.33172302737520126,0.1731491803955572
Feather River,0.03509662857948935,0.3841162364226266,0.16425447876992524,0.33401043870785724,0.08252221752010157
Glenn,0.04434046345811052,0.4500891265597148,0.05770944741532977,0.40329768270944744,0.044563279857397504
Great Basin Unified,0.03636690971284544,0.31217931406967325,0.1394364929336574,0.39526510036907014,0.1167521829147538
Imperial,0.0852378011117974,0.5290302655960469,0.034280420012353305,0.30049413218035825,0.0509573810994441
Kern,0.044058271497162814,0.5329823221300742,0.11627018769096464,0.24064273243125273,0.06604648625054561
Lake,0.06219601167315175,0.43032587548638135,0.0958171206225681,0.35207928015564205,0.05958171206225681
Lassen,0.05450849963045085,0.3549519586104952,0.08093126385809313,0.450849963045085,0.058758314855875834
Mariposa,0.039572192513368985,0.439572192513369,0.15026737967914439,0.2978609625668449,0.07272727272727272
Mendocino,0.04832904884318766,0.39845758354755784,0.04730077120822622,0.43496143958868894,0.07095115681233934
Modoc,0.03697916666666667,0.31302083333333336,0.07239583333333334,0.5307291666666667,0.046875
Mojave Desert,0.02408612310048888,0.44062215923325243,0.2043705755617113,0.24512730213947762,0.08579383996506976
Monterey Bay Unified,0.025544994317594792,0.3407376795123463,0.12332541240486276,0.40617143644315873,0.1042204773220374
North Coast Unified,0.0324487831706311,0.31328200192492783,0.09934002474907191,0.47408222191667815,0.08084696823869104
Northern Sierra,0.01742696053305997,0.3594737741329233,0.17802836152400478,0.33817415570362774,0.10689674810638419
Northern Sonoma,0.026791879574644385,0.3123877917414722,0.13796436956221517,0.436887170280348,0.08596878884132025
Placer,0.007084275391231103,0.26829808928492266,0.24473112559294233,0.27886687059449394,0.20101963913641
Sacramento Metro,0.022845012167991393,0.3681652966796528,0.15695664434997858,0.34219472964080927,0.10983831716156794
San Diego,0.017863969008989126,0.26706495737947833,0.1566338654823035,0.4333677502748758,0.12506945785435328
San Joaquin Valley Unified,0.03360701259324858,0.44340918301487475,0.16605626685478989,0.26168390295643645,0.09524363458065033
San Luis Obispo,0.016878004851337024,0.3400002904992229,0.15559138379304835,0.3713161067294145,0.11621421412697722
Santa Barbara,0.016059686393525542,0.34368993424380373,0.10479261507334345,0.41009104704097116,0.1253667172483561
Shasta,0.02558430066107959,0.43191400759981263,0.10382072770808391,0.34290250377387954,0.09577846025714434
Siskiyou,0.03229363579080025,0.3267170762444864,0.0852236925015753,0.4910207939508507,0.06474480151228733
South Coast,0.03969877546135787,0.29014948593311674,0.14351459133354688,0.41049287768340803,0.1161442695885705
Tehama,0.03959929286977018,0.48674130819092515,0.05303476723629935,0.3662934590453742,0.05433117265763111
Tuolumne,0.037784974915856986,0.39328125992252494,0.1385660760779831,0.3443830570902394,0.08598463199339557
Ventura,0.01399502017686958,0.32618986291176555,0.1599381815059672,0.37059614779199224,0.12928078761340545
Yolo-Solano,0.018107872567057228,0.3707635324876537,0.16136099544882349,0.3150237242180691,0.13474387527839643
