bzone,<100,100,101 - 199,200,>200
1,0.030054204905275585,0.3073042451564429,0.11812375892234209,0.46149304996511564,0.0830247410508238
10,0.022467855624822897,0.3535294612496458,0.22385834336922641,0.2757476002408614,0.12439673951544347
11,0.020070548226506633,0.3427499990404213,0.17421343333422895,0.3274312845688229,0.13553473483002024
12,0.021346625178232662,0.35861828292618153,0.1804495875852096,0.31633068646192886,0.12325481784844738
13,0.03711835226106048,0.4597959731664775,0.14771073408592955,0.26645110192992866,0.0889238385566038
14,0.018760723882288194,0.4543405419404966,0.21717682670206223,0.22671905856453753,0.08300284891061543
15,0.017214934551031985,0.37548587717025134,0.21225215887045376,0.2605142068733673,0.13453282253489562
16,0.0525764223165598,0.3621911579246523,0.14106230424459879,0.3561578950484615,0.08801222046572764
2,0.018973445681932963,0.32063475186730817,0.13027298583238084,0.4151617447702081,0.1149570718481699
3,0.03318806288795404,0.238724029580817,0.10456530235724762,0.5276146929078044,0.09590791226617693
4,0.013827787981036177,0.289911053688122,0.10827051210865758,0.4418218511083586,0.14616879511382566
5,0.01568125026470713,0.36863114649951295,0.13440769133031213,0.36175934945576216,0.11952056244970564
6,0.02457503742131272,0.26007299719083843,0.12105845926715741,0.455736225881195,0.1385572802394964
7,0.021926830483099288,0.25507665894168763,0.13921662267042076,0.46426049684018084,0.11951939106461149
8,0.05766685027221297,0.2764627833586425,0.10429454387208881,0.45671068127801634,0.10486514121903939
9,0.042831336558626275,0.24714187828325823,0.10432922904424742,0.4953209028051743,0.11037665330869376
