sqft_class,<100,100,101 - 199,200,>200
0-499,0.1835304424003504,0.16374653234048767,0.07964666374653234,0.5682581398744342,0.004818221638195357
500-749,0.18075934049311754,0.14268427080407114,0.08207100719579921,0.5913520755450872,0.00313330596192493
750-999,0.21133550311168003,0.17158044294345412,0.07422185302702236,0.5372471050708355,0.0056150958470079304
1000-1249,0.035841705548429935,0.3937607405944157,0.027686968650679933,0.4590422241574227,0.08366836104905177
1250-1499,0.0213251912100821,0.463896727402735,0.018382822375729406,0.411742501627999,0.08465275738345442
1500-1999,0.01361967605508519,0.49225010714603396,0.013782922135157647,0.3974652887282372,0.08288200593548596
2000-2499,0.007496232041012327,0.14212414994933428,0.3776398863042077,0.3139492531548113,0.1587904785506344
2500-2999,0.005724198587901435,0.09932958523046621,0.440643429724691,0.2795981074834097,0.17470467897353165
3000-3999,0.0009704459057820774,0.004965122564929778,0.5350782544131407,0.26017285660630507,0.19881332050984232
>4000,0.0015423623850531064,0.0014079899045371161,0.033038103361648925,0.42308051832723786,0.540931026021523
