year_bin,"(0, 1950]","(1950, 1978]","(1978, 2010]","(2010, 2023]","(0, 1950]","(1950, 1978]","(1978, 2010]","(2010, 2023]"
dac,No,No,No,No,Yes,Yes,Yes,Yes
units_bin,,,,,,,,
"(0, 3]",68233,33512,8782,772,75163,21356,5896,1979
"(3, 5]",15193,16086,2092,173,16124,10540,2275,497
"(5, 10]",7676,12818,1983,132,6028,9677,2624,156
"(10, 25]",3550,6891,1650,172,2264,4702,1628,137
"(25, 50]",713,2237,799,142,573,1603,759,173
"(50, 100]",198,826,503,117,145,440,423,132
"(100, 250]",52,399,501,164,32,184,158,71
"(250, 500]",2,69,130,99,8,26,22,30
"(500, 1000]",5,17,14,10,1,1,4,5
